['', 1279]
['know', 606]
['dont', 538]
['thi', 538]
['im', 527]
['just', 516]
['wa', 506]
['hannah', 479]
['like', 431]
['yeah', 418]
['okay', 364]
['think', 347]
['did', 322]
['want', 312]
['right', 303]
['clay', 300]
['whi', 256]
['come', 255]
['hey', 254]
['fuck', 237]
['oh', 234]
['didnt', 220]
['need', 215]
['talk', 215]
['thing', 206]
['tell', 201]
['say', 196]
['got', 195]
['good', 189]
['school', 178]
['mean', 177]
['look', 176]
['realli', 170]
['uh', 168]
['gonna', 157]
['let', 156]
['mayb', 156]
['justin', 153]
['happen', 143]
['peopl', 142]
['time', 141]
['friend', 140]
['sorri', 140]
['someth', 138]
['tape', 132]
['way', 128]
['becaus', 126]
['guy', 125]
['thank', 125]
['ill', 122]
['mr', 121]
['help', 120]
['girl', 119]
['hi', 119]
['um', 116]
['night', 116]
['shit', 115]
['make', 113]
['listen', 112]
['alex', 111]
['bryce', 110]
['baker', 109]
['sure', 109]
['anyth', 108]
['feel', 107]
['said', 103]
['jessica', 103]
['start', 101]
['thought', 99]
['someon', 97]
['stop', 95]
['kid', 91]
['play', 90]
['day', 90]
['life', 89]
['tri', 89]
['ye', 88]
['work', 88]
['wait', 85]
['love', 84]
['mom', 83]
['everyth', 81]
['noth', 80]
['man', 77]
['onli', 77]
['kind', 77]
['theyr', 76]
['god', 73]
['ive', 71]
['littl', 70]
['zach', 68]
['dad', 67]
['ani', 66]
['toni', 66]
['away', 66]
['told', 66]
['laugh', 64]
['ask', 64]
['actual', 63]
['befor', 63]
['doe', 61]
['care', 61]
['door', 61]
['fine', 60]
['phone', 60]
['parti', 60]
['person', 59]
['veri', 58]
['kill', 58]
['guess', 58]
['tyler', 57]
['courtney', 57]
['alway', 57]
['walk', 57]
['leav', 56]
['doesnt', 56]
['today', 56]
['open', 56]
['pleas', 55]
['truth', 55]
['parent', 55]
['everi', 55]
['ha', 55]
['els', 55]
['high', 54]
['home', 54]
['wont', 54]
['everyon', 53]
['jensen', 52]
['caus', 52]
['hell', 51]
['rememb', 51]
['year', 51]
['dude', 50]
['marcu', 50]
['believ', 49]
['use', 49]
['hurt', 49]
['hear', 48]
['live', 48]
['stori', 48]
['better', 48]
['wasnt', 47]
['whatev', 46]
['jess', 46]
['understand', 45]
['hope', 45]
['porter', 45]
['saw', 44]
['boy', 43]
['end', 43]
['great', 43]
['nice', 43]
['id', 43]
['cours', 42]
['knew', 42]
['ring', 41]
['chuckl', 41]
['lot', 41]
['stay', 41]
['youv', 41]
['togeth', 41]
['new', 41]
['heard', 41]
['alon', 41]
['miss', 41]
['car', 40]
['drink', 40]
['pictur', 39]
['class', 39]
['turn', 39]
['differ', 39]
['sheri', 39]
['big', 38]
['late', 38]
['hous', 38]
['read', 38]
['isnt', 37]
['cool', 37]
['wrong', 37]
['anyon', 37]
['pretti', 36]
['text', 36]
['list', 36]
['chang', 35]
['long', 35]
['gotta', 35]
['alreadi', 35]
['point', 35]
['student', 34]
['best', 34]
['lie', 34]
['arent', 34]
['meet', 34]
['sometim', 34]
['danc', 34]
['mind', 33]
['fun', 33]
['probabl', 33]
['anoth', 33]
['word', 32]
['jesu', 32]
['came', 32]
['bad', 32]
['hang', 32]
['tonight', 32]
['jeff', 32]
['music', 31]
['watch', 31]
['wonder', 31]
['hard', 31]
['week', 30]
['morn', 30]
['game', 30]
['world', 30]
['hot', 30]
['minut', 30]
['stupid', 29]
['idea', 29]
['left', 29]
['sit', 29]
['close', 29]
['rape', 29]
['youd', 28]
['secret', 28]
['lost', 28]
['suppos', 28]
['youll', 28]
['total', 27]
['sign', 27]
['honey', 27]
['shut', 27]
['true', 27]
['anymor', 27]
['place', 27]
['suicid', 27]
['face', 27]
['die', 27]
['fight', 26]
['onc', 26]
['hold', 26]
['exactli', 26]
['ride', 26]
['later', 26]
['sigh', 26]
['beer', 26]
['asshol', 26]
['worri', 26]
['answer', 26]
['took', 26]
['number', 25]
['drive', 25]
['matter', 25]
['weve', 25]
['dollar', 25]
['everybodi', 25]
['bell', 24]
['liberti', 24]
['real', 24]
['wow', 24]
['easi', 24]
['went', 24]
['old', 23]
['continu', 23]
['dead', 23]
['met', 23]
['run', 23]
['follow', 23]
['bring', 22]
['act', 22]
['moment', 22]
['learn', 22]
['problem', 22]
['mess', 22]
['sinc', 22]
['havent', 22]
['question', 22]
['fault', 22]
['water', 22]
['valentin', 22]
['ryan', 22]
['possibl', 21]
['promis', 21]
['homework', 21]
['hand', 21]
['boyfriend', 21]
['figur', 21]
['mani', 21]
['discuss', 21]
['bit', 21]
['myself', 21]
['bulli', 21]
['store', 21]
['sir', 21]
['foley', 20]
['room', 20]
['offic', 20]
['famili', 20]
['stuff', 20]
['engin', 20]
['song', 20]
['whoa', 20]
['rock', 20]
['deal', 20]
['protect', 20]
['drunk', 20]
['scare', 19]
['second', 19]
['realiz', 19]
['bike', 19]
['son', 19]
['em', 19]
['reason', 19]
['sound', 19]
['pass', 19]
['forget', 19]
['young', 19]
['knock', 19]
['import', 18]
['project', 18]
['mother', 18]
['glad', 18]
['huh', 18]
['check', 18]
['slow', 18]
['dinner', 18]
['hour', 18]
['bet', 18]
['cell', 18]
['date', 18]
['stand', 18]
['ass', 18]
['freak', 18]
['shouldnt', 18]
['wish', 18]
['forev', 18]
['money', 18]
['laini', 18]
['bye', 17]
['hate', 17]
['grunt', 17]
['throw', 17]
['case', 17]
['helmet', 17]
['gone', 17]
['dr', 17]
['practic', 17]
['seen', 17]
['perfect', 17]
['girlfriend', 17]
['window', 17]
['eye', 17]
['polic', 17]
['scoff', 16]
['bradley', 16]
['troubl', 16]
['grade', 16]
['rest', 16]
['lawyer', 16]
['touch', 16]
['herself', 16]
['trust', 16]
['decis', 16]
['afraid', 16]
['job', 16]
['complet', 16]
['ooh', 16]
['bitch', 16]
['anybodi', 16]
['standal', 16]
['lose', 16]
['beauti', 16]
['save', 16]
['pay', 16]
['blame', 16]
['pain', 16]
['lone', 16]
['bag', 16]
['record', 15]
['heart', 15]
['insid', 15]
['outsid', 15]
['key', 15]
['chatter', 15]
['histori', 15]
['head', 15]
['tomorrow', 15]
['final', 15]
['sweet', 15]
